name,iso_country,municipality,iata_code
Oljato Airport,US,Oljato,
Blanca Airport,US,Blanca,
Providence Airport,US,Farmville,
Port of Highgate Springs Heliport,US,Highgate Springs,
Sacred Heart Medical Center Helistop,US,Spokane,
Ames Private Airport,US,Darien,
Flat Creek Field,US,Kettle Falls,
Johnson Memorial Airport,US,Wilmot,
Henning Municipal Airport,US,Henning,
June Lake Airpark,US,Wasilla,
Brown Stagefield Army Heliport,US,Fort Rucker/New Brockton,
Bondair Airport,US,Higden,
Mercy Gilbert Medical Center Heliport,US,Gilbert,
Lucky Landing Marina and Seaplane Base,US,Bangor,
Sce Solar I Heliport,US,Yermo,
Abc7-Tv Heliport,US,Glendale,
Jecan Airport,US,Branson,
William P Gwinn Airport,US,Jupiter,
Grass Roots Airpark,US,Mascotte,
Morton Plant Hospital Heliport,US,Clearwater,
Smith Heliport,US,Redan,
Patoka Reservoir Landing Area Seaplane Base,US,French Lick,
Rich Field,US,Walford,
Larkin Airport,US,Kuna,
Humm Airport,US,Earlville,
Ellis Fly-In Airport,US,Blackhawk,
Sinele Strip,US,Nauvoo,
Riverside Hospital Airlift Heliport,US,Wichita,
Falcon Heliport,US,Jackson,
Panther Helicopters Inc Heliport,US,Belle Chasse,
Hammersmith Heliport,US,Elburn,
Tembec Heliport,US,St Francisville,
The Barn Heliport,US,Pepperell,
Bayview Heliport,US,Baltimore,
Barker Heliport,US,Bethel,
W A Foote Memorial Hospital Heliport,US,Jackson,
Pike Field Airport,US,Virginia,
Noahs Ark Airport,US,Waldron,
Torgerson Airport,US,Ethridge,
Randall Airport,US,Middletown,
Tailwinds Airport,US,St. Pauls,
Fitterer's Strip,US,Glen Ullin,
St Marys Hospital Heliport,US,Nebraska City,
Cole Farm Airport,US,Kensington,
Chemical Bank - New Jersey Na Heliport,US,Moorestown,
Silver Creek Airport,US,Baker,
Murphy Field,US,Auburn,
Saint Elizabeth Medical Center Heliport,US,Youngstown,
Hal Joy Airfield,US,Williamsfield,
Green Acres Airport,US,New Lebanon,
Albert Lodge Heliport,US,Grove,
Hayden Mountain Airport,US,Forest Grove,
Freefall Oz Airport,US,Ceres,
Schiavoni Heliport,US,Harrisburg,
Cherokee Island Castle Heliport,US,West Homestead,
Grawunder Field,US,Bellville,
Beyer Farm Airport,US,Derby,
